Symbol,Name,Sector,Market Cap $K,Last
AAPL,Apple Inc,2006722560,118.03   
AMGN,Amgen Inc,132594808,227.76   
AXP,American Express Company,91986280,114.24  
BA,Boeing Company,114768960,203.30   
CAT,Caterpillar Inc,93842392,172.74   
CRM,Salesforce.com Inc,234015600,257.16   
CSCO,Cisco Systems Inc,174412544,41.32  
CVX,Chevron Corp,157377984,84.28   
DIS,Walt Disney Company,260036352,143.90  
DOW,Dow Inc,41018884,55.30   
GS,Goldman Sachs Group,77174448,224.30  
HD,Home Depot,290460128,269.83   
HON,Honeywell International Inc,141116064,201.11  
IBM,International Business Machines,104048720,116.77  
INTC,Intel Corp,184655872,45.06   
JNJ,Johnson & Johnson,387957824,147.37  
JPM,JP Morgan Chase & Company,351305408,115.25
KO,Coca-Cola Company,226088064,52.61   
MCD,McDonald's Corp,160586336,215.52   
MMM,3M Company,98867288,171.40   
MRK,Merck & Company,203035216,80.25  
MSFT,Microsoft Corp,1595869600,211.08   
NKE,Nike Inc,206636336,131.63   
PG,Procter & Gamble Company,346400960,139.70 
TRV,The Travelers Companies Inc,34037128,134.37 
UNH,Unitedhealth Group Inc,326878336,344.51  
V,Visa Inc,403684832,207.83   
VZ,Verizon Communications Inc,249609840,60.32  
WBA,Walgreens Boots Alliance,33103970,38.23  
WMT,Wal-Mart Stores,422484192,149.09   
