Symbol,Name,Sector,Market Cap $K,Last
AAPL,Apple Inc,Computers and Technology,2006722560,118.03
AMGN,Amgen Inc,Medical,132594808,227.76
AXP,American Express Company,Finance,91986280,114.24
BA,Boeing Company,Aerospace,114768960,203.30
CAT,Caterpillar Inc,Industrial Products,93842392,172.74
CRM,Salesforce.com Inc,Computers and Technology,234015600,257.16
CSCO,Cisco Systems Inc,Computers and Technology,174412544,41.32
CVX,Chevron Corp,Oils-Energy,157377984,84.28
DIS,Walt Disney Company,Consumer Discretionary,260036352,143.90
DOW,Dow Inc,Basic Materials,41018884,55.30
GS,Goldman Sachs Group,Finance,77174448,224.30
HD,Home Depot,Retail-Wholesale,290460128,269.83
HON,Honeywell International Inc,Conglomerates,141116064,201.11
IBM,International Business Machines,Computers and Technology,104048720,116.77
INTC,Intel Corp,Computers and Technology,184655872,45.06
JNJ,Johnson & Johnson,Medical,387957824,147.37
JPM,JP Morgan Chase & Company,Finance,351305408,115.25
KO,Coca-Cola Company,Consumer Staples,226088064,52.61
MCD,McDonald's Corp,Retail-Wholesale,160586336,215.52
MMM,3M Company,Conglomerates,98867288,171.40
MRK,Merck & Company,Medical,203035216,80.25
MSFT,Microsoft Corp,Computers and Technology,1595869600,211.08
NKE,Nike Inc,Consumer Staples,206636336,131.63
PG,Procter & Gamble Company,Consumer Staples,346400960,139.70
TRV,The Travelers Companies Inc,Finance,34037128,134.37
UNH,Unitedhealth Group Inc,Medical,326878336,344.51
V,Visa Inc,Business Services,403684832,207.83
VZ,Verizon Communications Inc,Utilities,249609840,60.32
WBA,Walgreens Boots Alliance,Retail-Wholesale,33103970,38.23
WMT,Wal-Mart Stores,Retail-Wholesale,422484192,149.09
